node_id,cluster_id
1935,0
1607,0
1926,0
1577,0
1521,0
1452,0
1431,0
1330,0
338,0
1290,0
1277,0
1941,0
410,0
1294,0
13,0
343,0
954,0
217,0
44,0
167,0
1790,0
604,0
135,0
91,0
1596,0
1408,0
963,0
107,0
938,0
716,0
1893,0
1531,0
722,0
736,0
195,0
1128,0
649,0
840,0
1500,0
872,0
73,0
960,0
1063,0
520,0
1083,0
279,0
1238,0
1268,0
1597,1
1974,1
1900,1
1802,1
1914,1
1154,1
363,1
1964,1
43,1
387,1
90,1
508,1
1749,1
403,1
1041,1
733,1
782,1
1689,1
1507,1
515,1
890,1
1992,1
1029,1
1136,1
2003,2
1985,2
732,2
1972,2
1951,2
53,2
153,2
110,2
377,2
401,2
513,2
561,2
1792,2
188,2
1325,2
1087,2
668,2
1871,2
987,2
1372,2
1673,3
1669,3
1522,3
598,3
164,3
265,3
510,3
557,3
1730,3
209,3
1429,3
271,3
1240,3
555,3
584,3
1838,3
89,3
689,3
2005,4
1844,4
1439,4
1381,4
10,4
116,4
866,4
573,4
1322,4
868,4
889,4
456,4
915,4
964,4
1134,4
826,4
1213,4
1997,5
24,5
902,5
216,5
1994,5
402,5
1973,5
998,5
1197,5
1379,5
1466,5
1579,5
33,5
1193,5
1781,5
1853,5
1791,6
305,6
411,6
793,6
1178,6
418,6
1986,6
464,6
256,6
816,6
851,6
23,6
328,6
1585,6
1767,6
1509,7
449,7
1829,7
478,7
667,7
1832,7
1051,7
1962,7
1877,7
1648,7
1119,7
1257,7
1575,7
1961,7
1855,8
1401,8
1368,8
1072,8
977,8
795,8
433,8
627,8
154,8
1276,8
1018,8
382,8
1226,8
2000,9
1717,9
1190,9
1080,9
979,9
903,9
118,9
1628,9
11,9
63,9
1099,9
1527,10
1444,10
1666,10
1404,10
1102,10
1068,10
487,10
957,10
347,10
2024,10
190,10
1586,11
1069,11
896,11
571,11
452,11
1157,11
409,11
244,11
357,11
1902,12
1143,12
652,12
318,12
183,12
95,12
737,12
55,12
238,12
1918,13
982,13
690,13
332,13
1668,13
277,13
442,13
865,13
1705,14
1133,14
349,14
322,14
92,14
852,14
34,14
292,15
1779,15
1478,15
891,15
818,15
278,15
141,15
1562,16
828,16
583,16
538,16
917,16
165,16
1388,17
465,17
247,17
1905,17
1186,17
252,17
458,18
374,18
202,18
14,18
1207,18
1593,19
1376,19
1305,19
245,19
881,19
1980,20
1443,20
79,20
1194,20
429,20
1620,21
1023,21
873,21
664,21
36,21
848,22
1158,22
221,22
923,22
65,22
807,23
1837,23
1112,23
546,23
479,23
727,24
712,24
1549,24
1392,24
507,24
2015,25
60,25
894,25
588,25
1649,26
1690,26
1555,26
904,26
2002,27
1892,27
750,27
50,27
1499,28
729,28
448,28
139,28
1873,29
1711,29
962,29
70,29
1750,30
461,30
435,30
1800,30
1696,31
983,31
296,31
694,32
1580,32
124,32
1856,33
1922,33
121,33
1747,34
1479,34
1851,34
779,35
1906,35
1886,35
1498,36
525,36
386,36
1035,37
145,37
1211,37
1034,38
1004,38
1088,38
1938,39
0,39
391,39
